source, target
Jane, bane
Jane, dane
Jane, fane
Jane, gane
Jane, mane
Jane, nane
Jane, pane
Jane, sane
Omar, amar
Omar, Ovar
Vigo, digo
Vigo, figo
Vigo, ligo
Vigo, migo
Vigo, sigo
Vigo, Vito
amar, Omar
amar, arar
amar, asar
amar, atar
amar, azar
amar, amor
amar, amas
amar, amai
amar, amam
amar, alar
bane, Jane
bane, dane
bane, fane
bane, gane
bane, mane
bane, nane
bane, pane
bane, sane
bane, base
bane, bate
bane, bani
bane, bano
bane, bana
bane, bafe
bane, babe
bebi, bebo
bebi, bebé
bebi, beba
bebi, bebe
broa, proa
broa, troa
coai, doai
coai, soai
coai, toai
coai, voai
coai, zoai
coai, coei
coai, comi
coai, cosi
coai, cozi
coai, coam
coai, coar
coai, coas
coai, ceai
dane, Jane
dane, bane
dane, fane
dane, gane
dane, mane
dane, nane
dane, pane
dane, sane
dane, dine
dane, date
dane, dano
dane, dana
digo, Vigo
digo, figo
digo, ligo
digo, migo
digo, sigo
digo, dilo
digo, dito
digo, diga
doai, coai
doai, soai
doai, toai
doai, voai
doai, zoai
doai, doei
doai, doam
doai, doar
doai, doas
fane, Jane
fane, bane
fane, dane
fane, gane
fane, mane
fane, nane
fane, pane
fane, sane
fane, fine
fane, fase
fane, fano
fane, fade
fane, fana
fane, fale
fane, face
figo, Vigo
figo, digo
figo, ligo
figo, migo
figo, sigo
figo, fogo
figo, filo
figo, fino
figo, firo
figo, fito
figo, fixo
figo, fico
figo, figa
gane, Jane
gane, bane
gane, dane
gane, fane
gane, mane
gane, nane
gane, pane
gane, sane
gane, gene
gane, gare
gane, gaze
gane, gani
gane, gano
gane, gana
gane, gale
gane, gabe
gane, game
ligo, Vigo
ligo, digo
ligo, figo
ligo, migo
ligo, sigo
ligo, logo
ligo, limo
ligo, liso
ligo, lixo
ligo, liga
ligo, lido
ligo, lago
ligo, lego
mane, Jane
mane, bane
mane, dane
mane, fane
mane, gane
mane, nane
mane, pane
mane, sane
mane, mine
mane, mune
mane, mate
mane, mano
mane, maná
mane, mana
mane, mame
mane, mace
